TargetID,DB00284,DB06203,DB01076,DB12236,DB01200,DB08907,DB00672,DB00930,DB06292,DB09038,DB11827,DB16165,DB12412,DB01120,DB00222,DB01067,DB01251,DB01016,DB08882,DB00166,DB00678,DB12214,DB00331,DB00491,DB01252,DB00731,DB01132,DB01278,DB00912,DB00412,DB06335,DB13928,DB00641,DB01261,DB12713,DB11950,DB00839,DB01124,DB00273,DB15323,DB04876,DB04878
T86679,0.05869725,0.0775453,0.054106347,0.06906675,0.045795284,0.07094565,0.036348313,0.03224776,0.08226959,0.07663473,0.08147612,0.08717312,0.028238026,0.041481916,0.034120753,0.21775226,0.01663783,0.061346304,0.0702529,0.025670053,0.08345829,0.07594116,0.047470897,0.051544055,0.022461148,0.0141815515,0.033212584,0.021851774,0.04133305,0.10291547,0.03148782,0.015042194,0.02736818,0.030358551,0.08294691,0.056893762,0.024091171,0.031913962,0.032861713,0.057274934,0.046959843,0.06325857
T83813,0.05100257,0.23819026,0.034398146,0.03962464,0.2674093,0.04223261,0.24801296,0.17448416,0.042292267,0.04156495,0.03885981,0.078080446,0.08867706,0.043121044,0.048980966,0.03927772,0.046423484,0.03553834,0.09197815,0.03885773,0.054022532,0.042365324,0.062335327,0.09521676,0.028482294,0.037908364,0.061583925,0.016080476,0.039168477,0.07480349,0.08610746,0.011481742,0.01788288,0.1977395,0.049386602,0.50705236,0.04680076,0.0715103,0.037261516,0.32477307,0.106626496,0.065037474
T32060,0.11775191,0.3132684,0.03656642,0.0340995,0.4327253,0.044602297,0.16065404,0.16698268,0.040140145,0.03440214,0.038919263,0.05493802,0.08090956,0.043795124,0.030730827,0.027330134,0.032122612,0.1065349,0.119859785,0.036493845,0.071453966,0.048381492,0.069880806,0.08179572,0.03154599,0.039154246,0.045021005,0.027547728,0.047681876,0.067323335,0.0879104,0.021972286,0.02114832,0.37760103,0.040351428,0.40143275,0.038732845,0.055783458,0.032914434,0.44817603,0.08432298,0.06154975
T31204,0.048334513,0.20246276,0.026551979,0.021304756,0.53900975,0.023595974,0.23045789,0.15643418,0.023140227,0.022576176,0.02401647,0.03174881,0.08580925,0.030057793,0.022296766,0.022426672,0.030661074,0.02973002,0.10072337,0.025893666,0.033582583,0.020759441,0.058166064,0.074753225,0.01915331,0.022347257,0.032065187,0.026749438,0.023583053,0.055442654,0.11057232,0.021899037,0.011403294,0.38907176,0.02384955,0.52433944,0.027896496,0.05530038,0.033071492,0.3172593,0.08699331,0.058602057
T51408,0.41717738,0.06722462,0.09206525,0.05969623,0.11800907,0.06413599,0.2602938,0.28488454,0.06572909,0.05767929,0.057800602,0.056717116,0.03919462,0.090226896,0.04224933,0.06164413,0.019890258,0.037154634,0.04754252,0.3041788,0.06532796,0.07511568,0.06705135,0.31801066,0.04947623,0.0607206,0.062574655,0.053301092,0.03736813,0.1918031,0.086519875,0.054417152,0.030611748,0.062512755,0.083244585,0.13073224,0.27333015,0.26385605,0.035557084,0.10751663,0.4574759,0.4697358
T77365,0.03390982,0.05405701,0.031149417,0.032637816,0.05211129,0.035951495,0.020948665,0.023718528,0.034322556,0.03627111,0.03621721,0.04757598,0.027025329,0.110110484,0.03418251,0.26860207,0.020578925,0.035143353,0.067030124,0.016354458,0.046995454,0.034402218,0.036355548,0.036920775,0.015948478,0.013586767,0.018833227,0.033178434,0.030348988,0.0634433,0.029220914,0.024455171,0.019479258,0.030320315,0.03384749,0.035696123,0.02874645,0.022077223,0.02068531,0.04321195,0.036352392,0.03529144
T58921,0.020110616,0.04617255,0.17214473,0.12594464,0.033566307,0.17232692,0.4278498,0.024623582,0.16453266,0.13175462,0.26245865,0.12550932,0.057115432,0.34744966,0.20369674,0.18100646,0.62356293,0.46497968,0.046972696,0.228542,0.09913714,0.16787265,0.18302144,0.029837128,0.43263602,0.53172314,0.50588596,0.010527211,0.20365861,0.33129984,0.02767923,0.008739143,0.46819776,0.051779494,0.17097437,0.031716812,0.42808586,0.5097408,0.48562565,0.04114163,0.030333646,0.021977404
T27944,0.028059347,0.016489027,0.017294064,0.0053825257,0.023294413,0.0066509317,0.006507265,0.01145454,0.0039163237,0.0039402903,0.0041869455,0.009631763,0.018813116,0.0047349446,0.014416555,0.0062525743,0.0075592846,0.0076475595,0.02208894,0.0027125045,0.009070981,0.00237992,0.017980807,0.019364836,0.0024575084,0.0025423397,0.0034449212,0.51214063,0.0042356364,0.008537557,0.011329664,0.5258701,0.0028052675,0.017760755,0.0033191065,0.0064312364,0.0026545383,0.004204233,0.007285571,0.016566357,0.0071042567,0.01635942
T28893,0.04416611,0.1005944,0.03385734,0.032253258,0.13653435,0.043518484,0.101685815,0.5073524,0.03547427,0.03791437,0.039553896,0.0936146,0.33737853,0.10309707,0.054848574,0.08556351,0.06740396,0.05148271,0.078531295,0.1499715,0.039440073,0.036916904,0.40402043,0.3106696,0.08431688,0.068709895,0.03302205,0.028327871,0.052536055,0.037929635,0.33960056,0.025812643,0.03913471,0.2340954,0.038026106,0.4860221,0.0886587,0.09663521,0.08644456,0.086740285,0.109667815,0.063727565
T36557,0.018058008,0.019315641,0.0991874,0.05322305,0.025218196,0.109200135,0.10749854,0.014282229,0.053625677,0.043942053,0.091328,0.051022958,0.029591471,0.051785085,0.06542592,0.049597107,0.07964291,0.07024848,0.020630825,0.19252521,0.038618166,0.087339014,0.026791148,0.0092307795,0.33115548,0.36560082,0.1008524,0.011530184,0.0542811,0.05651639,0.017841402,0.011146306,0.12397663,0.02545835,0.05767873,0.011956357,0.13266172,0.23149686,0.20540261,0.019972771,0.009015753,0.014239825
T78709,0.06467598,0.2900794,0.025748879,0.024766129,0.6677552,0.025818026,0.089503795,0.4867095,0.028994858,0.027359296,0.026620872,0.13227841,0.12231562,0.07017932,0.07586846,0.10681011,0.06369213,0.066678636,0.11752592,0.051622428,0.035320245,0.040843517,0.09269028,0.3123479,0.0355962,0.039520316,0.069180556,0.019348212,0.0731112,0.14044946,0.14860079,0.01432265,0.020466458,0.10760972,0.027469546,0.89708877,0.079630725,0.12289706,0.055155173,0.39512438,0.23378557,0.13746354
T07806,0.038801488,0.16294244,0.026887242,0.022262774,0.35858715,0.026410814,0.065339975,0.19625346,0.0194504,0.01984795,0.020408733,0.04346778,0.04765167,0.028872276,0.032181922,0.020922868,0.02175251,0.037009124,0.07806554,0.038178008,0.03602597,0.020714836,0.0585707,0.11984727,0.01652849,0.021298543,0.039943375,0.017628985,0.029737715,0.061015725,0.069590665,0.0124063585,0.0151595175,0.0795736,0.019914787,0.5443707,0.029373296,0.06818232,0.038478304,0.32446265,0.09655619,0.06668372
T51426,0.09585067,0.062493898,0.29587904,0.16716264,0.072346695,0.37619007,0.09752749,0.028584989,0.1365868,0.18934566,0.42849517,0.14466557,0.108329825,0.15098271,0.26695263,0.10196296,0.55176306,0.45544273,0.08741201,0.06868356,0.1745229,0.12508418,0.06995568,0.022992367,0.13353926,0.086290464,0.1334517,0.03514901,0.42288733,0.10547871,0.08426654,0.028813574,0.4474059,0.14858602,0.12006729,0.052819785,0.09815795,0.07955203,0.18278916,0.07436892,0.054172844,0.025484571
T60182,0.040101115,0.018806348,0.020733714,0.007729235,0.015994228,0.007745188,0.1755662,0.010600355,0.010042438,0.008540053,0.009404125,0.010905016,0.03243986,0.0076216636,0.016203843,0.012327269,0.013241082,0.01082729,0.019262604,0.01185143,0.009905143,0.00830707,0.059901405,0.21568868,0.013376381,0.0104388725,0.0060562156,0.5754254,0.0052052354,0.0056171576,0.021201503,0.72748995,0.009786326,0.025644474,0.007111718,0.007890993,0.012644116,0.019717408,0.016204227,0.020279529,0.006588404,0.025331896
T02551,0.04802266,0.14825927,0.013490563,0.012113378,0.109296456,0.009964228,0.02375028,0.22513697,0.010829959,0.012168109,0.009329458,0.03177902,0.037917513,0.019233698,0.018227994,0.0100042615,0.010219702,0.008623707,0.04125068,0.027208768,0.017220818,0.014112337,0.03460369,0.19391888,0.012401942,0.009589205,0.024659216,0.017382404,0.01584925,0.056065463,0.04925431,0.014777164,0.011573661,0.054773033,0.010599444,0.3801848,0.01813574,0.023955362,0.021561934,0.25548694,0.079520926,0.23895934
T97413,0.021754159,0.019329334,0.021618493,0.010425926,0.016898355,0.0132177165,0.0138156125,0.009233779,0.010472723,0.01216264,0.010055597,0.016568763,0.02936903,0.010977082,0.016975274,0.030559337,0.02177108,0.020914115,0.02061419,0.00540857,0.00874766,0.009655828,0.016877212,0.011223878,0.007929082,0.0066919574,0.008762757,0.05929746,0.007825391,0.008471908,0.01361851,0.048132688,0.0051368056,0.020165185,0.008040816,0.006944661,0.013605292,0.0141877625,0.014131641,0.022525035,0.0044509904,0.013607089
T37693,0.049968325,0.08426949,0.1433701,0.1359796,0.055944167,0.15311056,0.17460391,0.09177135,0.13304175,0.11056948,0.15334879,0.30609077,0.31869656,0.42115784,0.30289042,0.35304677,0.143447,0.24285083,0.0928588,0.16853885,0.24585994,0.14368112,0.33618483,0.045961756,0.27833143,0.1259935,0.13985305,0.029044216,0.16820662,0.1445983,0.32482305,0.023684992,0.15089525,0.24504408,0.15456665,0.06988565,0.34404853,0.22074482,0.36967582,0.07868583,0.35973856,0.0527003
T36075,0.038762767,0.021463837,0.014344236,0.008405939,0.01791098,0.00702618,0.16130719,0.017534878,0.014630715,0.011762666,0.011613808,0.011284705,0.024053589,0.011136434,0.014179362,0.014978048,0.013594946,0.011746616,0.022482838,0.013520421,0.0125236055,0.006458927,0.07270122,0.23273282,0.009776115,0.009206903,0.008578922,0.7896044,0.005988946,0.0059972918,0.018797962,0.9028559,0.006113969,0.029148553,0.011334911,0.010047543,0.013870818,0.018977638,0.018114788,0.020841101,0.007306752,0.026793899
T67684,0.032530703,0.07571661,0.022360278,0.012501854,0.08018399,0.023860186,0.04604269,0.3349293,0.014582019,0.013327997,0.01761652,0.025991186,0.084637806,0.028303709,0.02169439,0.026658375,0.027583906,0.015311962,0.07103695,0.05320036,0.018386189,0.015437041,0.2942963,0.13822103,0.021276262,0.021387318,0.010861943,0.016131151,0.021491466,0.02437324,0.06664441,0.013584959,0.014437338,0.09272672,0.013561329,0.3465329,0.030067572,0.031568043,0.048215974,0.07428261,0.062493887,0.0465572
