TargetID,DB00284,DB06203,DB01076,DB12236,DB01200,DB08907,DB00672,DB00930,DB06292,DB09038,DB11827,DB16165,DB12412,DB01120,DB00222,DB01067,DB01251,DB01016,DB08882,DB00166,DB00678,DB12214,DB00331,DB00491,DB01252,DB00731,DB01132,DB01278,DB00912,DB00412,DB06335,DB13928,DB00641,DB01261,DB12713,DB11950,DB00839,DB01124,DB00273,DB15323,DB04876,DB04878
T71390,0.00066539727,0.00025787656,0.00025623548,0.0002573961,0.0043944116,0.027004352,0.0003804666,0.0029756122,0.004018516,0.0009077442,0.00023074685,0.025505956,0.00035903632,0.000248615,0.000539227,0.0011533217,0.00082661276,0.003362543,2.122442e-05,0.029322043,4.4378513e-07,0.02618084,0.006683677,1.8389132e-05,0.042773306,0.0041685915,0.0047920416,8.00693e-06,0.033184,0.020030582,0.00013539834,2.5031648e-05,0.0019202424,0.0032461255,0.014269601,1.8061444e-05,0.00071103853,0.00075859926,3.7497874e-05,2.1717105e-05,0.0002714373,2.7237622e-06
T70309,4.9088303e-05,0.00026835361,9.753881e-05,0.0026594538,0.0013017947,0.00084742036,0.00024572582,0.0009375102,0.0015751461,0.003615005,0.00040721704,0.00088669994,0.002362988,0.0001405908,0.00049946003,0.003110506,0.00087181036,0.0027870743,0.00013921635,0.019140098,3.8489816e-08,0.0016625266,0.0003238123,5.745099e-06,0.38209808,0.008811276,0.0010980337,0.00020340641,0.029824972,0.027458655,9.299151e-05,0.00033050356,0.006859869,0.2283346,0.0038404998,0.0003577218,0.005249244,0.0005871027,0.0020525954,4.3348213e-05,0.0006298588,8.5397835e-07
T73725,2.4902612e-08,1.03191505e-05,1.8448973e-10,6.450664e-07,3.2455646e-05,3.017959e-07,6.3503896e-05,2.0490388e-05,5.2144683e-06,2.500476e-06,4.000578e-06,9.664222e-05,3.5959205e-05,5.830519e-06,2.130998e-06,3.096734e-05,1.7263383e-05,1.2231889e-05,4.89898e-06,8.1786166e-05,5.2448605e-09,1.9284129e-05,0.00015502123,4.5244086e-08,1.6017414e-06,2.7209842e-06,2.097996e-06,0.00089495623,2.930721e-06,0.0001896818,4.852341e-09,0.00017246742,4.203186e-06,2.2759958e-05,1.2449051e-05,9.327753e-06,0.00036981658,2.64555e-05,0.00016112627,2.4030176e-05,6.806582e-08,1.4411117e-09
T46685,1.06535175e-07,2.3620587e-06,1.4988355e-10,5.1158963e-07,1.719372e-05,3.5099367e-07,0.00037517562,0.00013358193,5.242461e-06,1.494741e-06,6.658852e-07,0.00011793855,1.919129e-06,5.8098864e-05,7.500558e-06,2.0469548e-05,1.3171023e-05,4.9814433e-05,3.1651791e-06,6.175952e-05,4.9705415e-07,2.0906436e-05,0.0012671866,6.6672584e-07,6.090027e-06,1.6384736e-05,2.3072275e-06,3.0806314e-05,2.9763347e-05,0.00017199527,6.1379715e-09,1.28000165e-05,1.1458655e-05,4.9533105e-06,2.1263239e-05,7.1852764e-07,0.0006567996,0.00013544198,0.00024189703,1.8977711e-06,3.0770957e-07,3.3864915e-09
T51282,0.0013215602,0.99565256,0.0008169451,0.00037418478,0.0034355707,0.0120946355,0.9442833,0.00063546764,0.002646343,0.00085344445,0.00016564566,0.0054244315,3.81873e-06,0.13423036,0.003252306,0.014996831,0.0076361303,0.019237723,0.002411291,0.000331557,6.33722e-05,0.0039250674,0.011076009,0.00022977252,0.00069897465,0.01575401,0.015198694,0.0040800697,0.0007525625,0.8860474,0.00016082037,0.00080671295,0.0040637795,0.03684706,0.0018973518,0.29048425,0.8474961,0.8711833,0.007945169,0.9864818,0.0018108953,0.00021253304
T48873,0.0008597538,0.34680682,8.96618e-07,0.00025490872,0.003631486,6.9861904e-05,0.00024441545,0.05455273,0.0012830073,0.0005962674,0.0006859835,0.037179757,0.41629747,2.2909411e-05,4.5687553e-05,0.00075400714,7.275423e-05,1.0477279e-06,0.17600866,5.2514274e-06,2.4555511e-05,0.0069583636,0.02120629,0.0037412117,5.8232285e-06,3.3885422e-07,0.0009203499,0.009603377,1.0116012e-05,0.072086014,0.17097683,0.005996083,1.8616525e-06,0.34396434,0.0018064162,0.23804398,0.00013306984,3.972328e-05,9.214446e-05,0.2744521,0.20509104,0.0011858316
T06273,0.002904885,0.014793537,0.08473768,0.0012601671,0.3631567,0.010704493,0.09242678,0.0048126588,0.0022445098,0.0011477388,0.00041772806,0.0038146987,0.00018348027,0.048059486,0.0048199706,0.0122955395,0.014519931,0.0031118486,0.023047913,0.0420497,0.00185313,0.0021165393,0.057419997,0.001994143,0.03019893,0.009076846,0.7741262,0.00014872072,0.00034712316,0.6785092,0.013306592,4.0878946e-05,0.0010400717,0.03596596,0.00985181,0.009467657,0.14752054,0.11087458,0.0028406219,0.054710533,0.016203033,0.0016616088
T97655,0.00023312919,0.01274964,3.8837625e-05,0.000541195,0.029894823,0.0014351022,0.00020129012,0.0024210315,0.0014117009,0.0009404043,0.0007768984,0.05102004,8.295953e-05,0.0042413594,0.0012204882,0.00069345045,0.0003814737,0.00037628168,0.002158907,1.8274119e-05,0.00027561816,0.0015884072,0.14653008,1.3298092e-05,0.028794847,0.0003077912,9.785516e-06,1.9517078e-05,0.009507781,0.0003190974,9.052168e-05,3.6788828e-05,0.008011296,0.0012300378,0.0012887451,0.026874138,0.022057,0.00021553638,0.033333197,0.0012393693,0.0017956722,8.5954014e-07
T51452,0.00036420152,0.00046942377,0.0028924497,0.0010068327,5.5047316e-05,0.0054226904,0.01095596,0.019509893,0.0011675634,0.0026051905,0.0007311273,0.00018819986,0.0026022235,1.7040049e-05,1.823295e-05,1.0816776e-05,0.00019251181,2.6317261e-06,0.0010643653,0.00094854715,0.00011372305,0.0009582511,0.019596083,1.5798629e-05,8.253824e-05,5.045142e-05,0.0029557562,4.2339548e-06,0.00030664014,0.00041594193,6.802458e-05,3.2546714e-06,0.01527729,0.0032944714,0.0016078278,5.970386e-05,3.3441473e-05,0.0004067908,0.14152679,8.263314e-05,0.00029651547,5.4653035e-05
T08910,0.0026135684,0.018712068,0.007706189,0.008243193,0.0007158032,0.05105547,0.03729789,0.1851749,0.028719746,0.035472903,0.005561709,0.0035960213,0.0014669948,0.00043894278,0.00018496437,6.329936e-05,0.0010670044,4.4524837e-05,0.0042258645,0.0018346144,0.004480219,0.022386651,0.13097645,6.839051e-05,0.00023775402,0.00028971027,0.0046397755,8.4565945e-05,0.0015630607,0.012173278,0.00051608164,4.3649787e-05,0.12487136,0.0024760824,0.04985872,0.00046213047,0.00021295271,0.003969982,0.92871225,0.0073468243,0.0011317924,0.00025318534
